== building the seed (everything below reads it) ==
refreshed build/vl-compiler.wasm (1835787 bytes) from current compiler/*.vl

GATE                       TIME  RESULT
deno task test            96.5s  ok
ci-native                137.0s  FAILED rc=1   /tmp/vl-gate.1517915/1.log
lsp suites (ci list)     137.0s  ok
lsp typecheck            137.0s  ok
native-fixpoint          137.0s  ok
self-compile time        137.0s  ok
lint-self + fmt          137.0s  ok
comment budget           137.0s  ok
arena-scan budget        137.0s  ok
scaling shape            137.0s  ok
deno lint                137.0s  ok
rep-fuzz                 137.0s  ok
mono-tyaram-grid         137.0s  ok
filed witnesses          137.0s  ok
inventory refs           137.1s  ok
conflict markers         137.1s  ok
splice scan              137.1s  ok
distilled corpus         173.0s  ok

GATE FAILED — logs in /tmp/vl-gate.1517915
