== building the seed (everything below reads it) ==
refreshed build/vl-compiler.wasm (1835787 bytes) from current compiler/*.vl

GATE                       TIME  RESULT
deno task test            53.0s  ok
ci-native                 68.0s  ok
lsp suites (ci list)      68.0s  ok
lsp typecheck             68.0s  ok
native-fixpoint           68.0s  ok
self-compile time         68.0s  ok
lint-self + fmt           68.0s  ok
comment budget            68.0s  ok
arena-scan budget         68.0s  ok
scaling shape             68.0s  ok
deno lint                 68.0s  ok
rep-fuzz                  68.0s  ok
mono-tyaram-grid          68.0s  ok
filed witnesses           68.0s  ok
inventory refs            68.0s  ok
conflict markers          68.0s  ok
splice scan               68.0s  ok
distilled corpus          76.6s  ok

ALL GATES PASS ✅  (logs in /tmp/vl-gate.3415470)
