== building the seed (everything below reads it) ==
refreshed build/vl-compiler.wasm (1997993 bytes) from current compiler/*.vl; 2 engine-tag sidecar(s) warm

GATE                       TIME  RESULT
deno task test            74.6s  ok
ci-native                 82.5s  ok
lsp suites (ci list)      82.5s  ok
lsp typecheck             82.5s  ok
native-fixpoint           82.5s  ok
self-compile time         82.5s  ok
lint-self + fmt           82.5s  ok
comment budget            82.5s  ok
arena-scan budget         82.5s  ok
scaling shape             82.5s  ok
deno lint                 82.5s  ok
rep-fuzz                  82.5s  ok
mono-tyaram-grid          82.5s  ok
filed witnesses           82.5s  ok
inventory refs            82.5s  ok
conflict markers          82.5s  ok
splice scan               82.5s  ok
distilled corpus          91.1s  ok

ALL GATES PASS ✅  (logs in /tmp/vl-gate.925618)
