== building the seed (everything below reads it) ==
refreshed build/vl-compiler.wasm (2016892 bytes) from current compiler/*.vl; 2 engine-tag sidecar(s) warm

GATE                       TIME  RESULT
deno task test            56.0s  ok
ci-native                 65.6s  ok
lsp suites (ci list)      65.6s  ok
lsp typecheck             65.6s  ok
native-fixpoint           65.6s  ok
self-compile time         65.6s  ok
lint-self + fmt           65.6s  ok
comment budget            65.6s  ok
seed size                 65.6s  ok
arena-scan budget         65.6s  ok
kind-ladder budget        65.6s  ok
scaling shape             65.6s  ok
deno lint                 65.6s  ok
rep-fuzz                  65.6s  ok
mono-tyaram-grid          65.6s  ok
filed witnesses           65.6s  ok
inventory refs            65.6s  ok
conflict markers          65.6s  ok
splice scan               65.6s  ok
distilled corpus          70.9s  ok

ALL GATES PASS ✅  (logs in /tmp/vl-gate.3016114)
