== building the seed (everything below reads it) ==
refreshed build/vl-compiler.wasm (2020749 bytes) from current compiler/*.vl; 2 engine-tag sidecar(s) warm

GATE                       TIME  RESULT
deno task test            55.7s  ok
ci-native                 65.9s  ok
lsp suites (ci list)      65.9s  ok
lsp typecheck             65.9s  ok
native-fixpoint           65.9s  ok
self-compile time         65.9s  ok
lint-self + fmt           65.9s  ok
comment budget            65.9s  ok
seed size                 65.9s  ok
arena-scan budget         65.9s  ok
kind-ladder budget        65.9s  ok
scaling shape             65.9s  ok
deno lint                 65.9s  ok
rep-fuzz                  65.9s  ok
mono-tyaram-grid          65.9s  ok
filed witnesses           65.9s  ok
inventory refs            65.9s  ok
conflict markers          65.9s  ok
splice scan               65.9s  ok
distilled corpus          71.4s  ok

ALL GATES PASS ✅  (logs in /tmp/vl-gate.3190238)
