algorithms/binarytrees	4210	4039	4214	OK
algorithms/dispatch-table	384	376	263	OK
algorithms/lambda-hot	482	437	196	OK
algorithms/mandelbrot	3133	3539	2758	OK
algorithms/map-filter-reduce	559	535	481	OK
algorithms/nbody	2911	3372	3174	OK
algorithms/spectralnorm	2394	2494	2162	OK
arith/bitcount	176	186	184	OK
arith/bitops	356	338	342	OK
arith/convert	280	285	285	OK
arith/f64-accum	517	524	524	OK
arith/floatops	358	357	357	OK
arith/i32-accum	279	294	282	OK
arith/i64-accum	290	283	291	OK
arith/intdivmod	487	484	482	OK
arith/mixed-width	207	490	493	OK
arrays/binsearch	1330	1794	1877	OK
arrays/fill-sum	973	980	1021	OK
arrays/matmul	1492	1490	1483	OK
arrays/push-growth	514	436	402	OK
arrays/reverse-inplace	1682	1780	1807	OK
arrays/sort-heap	858	602	827	OK
arrays/struct-aos	1352	1352	1437	OK
arrays/struct-soa	1174	1317	1182	OK
collections/map-i32	1059	1011	1015	OK
collections/map-string	1166	1146	1217	OK
collections/set-ops	882	868	912	OK
collections/struct-alloc	303	297	281	OK
collections/struct-array-scan	591	660	597	OK
collections/struct-field	976	338	336	OK
collections/word-freq	1276	1234	1276	OK
recursion/ackermann	499	498	503	OK
recursion/deeprec	945	937	942	OK
recursion/fib	847	847	832	OK
recursion/flatcall-inlined	1463	1492	1529	OK
recursion/flatcall	1372	1372	1367	OK
recursion/mutual	825	813	819	OK
recursion/tailcall	663	656	661	OK
recursion/treewalk	849	853	849	OK
strings/char-scan	1446	1398	1382	OK
strings/concat-build	1955	1716	1705	OK
strings/int-format	876	848	844	OK
strings/slice-extract	1536	1518	1427	OK
strings/str-eq	1049	995	934	OK
strings/substr-search	633	676	709	OK
strings/token-count	1464	1584	1631	OK
