cell,leg,rep,nul,pos,con,read,inp,spell,outcome,msg,expected
g00000,G,i32,1,field,fwd,nulalias,0,fwd,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7|1
g00001,G,i32,1,field,fwd,nulalias,1,fwd,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",NUL|1
g00002,G,i32,0,field,fwd,plainalias,0,fwd,correct,,7|1
g00003,G,i32,1,field,ord,nulalias,0,ord,correct,,7|1
g00004,G,i32,1,field,ord,nulalias,1,ord,correct,,NUL|1
g00005,G,i32,0,field,ord,plainalias,0,ord,correct,,7|1
g00006,G,i32,1,elem,ord,nulalias,0,ord,correct,,7|1
g00007,G,i32,1,elem,ord,nulalias,1,ord,correct,,NUL|1
g00008,G,i32,0,elem,ord,plainalias,0,ord,correct,,7|1
g00009,G,i32,1,mapval,ord,nulalias,0,ord,correct,,7|1
g00010,G,i32,1,mapval,ord,nulalias,1,ord,correct,,NUL|1
g00011,G,i32,0,mapval,ord,plainalias,0,ord,loud_check_reject,"[ERROR]: print of a union value (i32?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7|1
g00012,G,i32,1,bare,ord,nulalias,0,ord,correct,,7|1
g00013,G,i32,1,bare,ord,nulalias,1,ord,correct,,NUL|1
g00014,G,i32,0,bare,ord,plainalias,0,ord,correct,,7|1
g00015,G,i64,1,field,fwd,nulalias,0,fwd,loud_check_reject,"[ERROR]: print of a union value (i64?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",70|1
g00016,G,i64,1,field,fwd,nulalias,1,fwd,loud_check_reject,"[ERROR]: print of a union value (i64?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",NUL|1
g00017,G,i64,0,field,fwd,plainalias,0,fwd,correct,,70|1
g00018,G,i64,1,field,ord,nulalias,0,ord,correct,,70|1
g00019,G,i64,1,field,ord,nulalias,1,ord,correct,,NUL|1
g00020,G,i64,0,field,ord,plainalias,0,ord,correct,,70|1
g00021,G,i64,1,elem,ord,nulalias,0,ord,correct,,70|1
g00022,G,i64,1,elem,ord,nulalias,1,ord,correct,,NUL|1
g00023,G,i64,0,elem,ord,plainalias,0,ord,correct,,70|1
g00024,G,i64,1,mapval,ord,nulalias,0,ord,correct,,70|1
g00025,G,i64,1,mapval,ord,nulalias,1,ord,correct,,NUL|1
g00026,G,i64,0,mapval,ord,plainalias,0,ord,loud_check_reject,"[ERROR]: print of a union value (i64?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",70|1
g00027,G,i64,1,bare,ord,nulalias,0,ord,correct,,70|1
g00028,G,i64,1,bare,ord,nulalias,1,ord,correct,,NUL|1
g00029,G,i64,0,bare,ord,plainalias,0,ord,correct,,70|1
g00030,G,f64,1,field,fwd,nulalias,0,fwd,loud_check_reject,"[ERROR]: print of a union value (f64?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",7.25|1
g00031,G,f64,1,field,fwd,nulalias,1,fwd,loud_check_reject,"[ERROR]: print of a union value (f64?) is type-valid but not yet supported by codegen — narrow it first, e.g. `if v is i32 { print(v) }`",NUL|1
g00032,G,f64,0,field,fwd,plainalias,0,fwd,correct,,7.25|1
g00033,G,f64,1,field,ord,nulalias,0,ord,correct,,7.25|1
g00034,G,f64,1,field,ord,nulalias,1,ord,correct,,NUL|1
