cell,leg,rep,nul,pos,con,read,inp,outcome,msg,expected
s00000,SAB,sab_wrongvalue,0,sab,sab_wrongvalue,sab,0,wrong_value,expected ['999'] got ['1'] (calls 1),999|1
s00001,SAB,sab_wrongvalue,0,sab,sab_wrongvalue,sab,0,wrong_value,expected ['71'] got ['70'] (calls 1),71|1
s00002,SAB,sab_wrongvalue,0,sab,sab_wrongvalue,sab,0,wrong_value,expected ['1.26'] got ['1.25'] (calls 1),1.26|1
s00003,SAB,sab_wrongvalue,0,sab,sab_wrongvalue,sab,0,wrong_value,expected ['2.5'] got ['2.25'] (calls 1),2.5|1
s00004,SAB,sab_wrongvalue,0,sab,sab_wrongvalue,sab,0,wrong_value,expected ['false'] got ['true'] (calls 1),false|1
s00005,SAB,sab_wrongvalue,0,sab,sab_wrongvalue,sab,0,wrong_value,expected ['bb'] got ['aa'] (calls 1),bb|1
s00006,SAB,sab_wrongvalue,0,sab,sab_wrongvalue,sab,0,wrong_value,expected ['q'] got ['p'] (calls 1),q|1
s00007,SAB,sab_wrongvalue,0,sab,sab_wrongvalue,sab,0,wrong_value,expected ['6'] got ['5'] (calls 1),6|1
s00008,SAB,sab_wrongvalue,0,sab,sab_wrongvalue,sab,0,wrong_value,expected ['3'] got ['2'] (calls 1),3|1
s00009,SAB,sab_wrongvalue,0,sab,sab_wrongvalue,sab,0,wrong_value,expected ['2'] got ['1'] (calls 1),2|1
s00010,SAB,sab_wrongvalue,0,sab,sab_wrongvalue,sab,0,wrong_value,expected ['5'] got ['4'] (calls 1),5|1
s00011,SAB,sab_wrongvalue,0,sab,sab_wrongvalue,sab,0,wrong_value,expected ['NUL'] got ['aa'] (calls 1),NUL|1
s00012,SAB,sab_evalcount,0,sab,sab_evalcount,sab,0,wrong_evalcount,calls expected 1 got 2,7|1
s00013,SAB,sab_evalcount,0,sab,sab_evalcount,sab,0,wrong_evalcount,calls expected 1 got 2,70|1
s00014,SAB,sab_evalcount,0,sab,sab_evalcount,sab,0,wrong_evalcount,calls expected 1 got 2,aa|1
s00015,SAB,sab_evalcount,0,sab,sab_evalcount,sab,0,wrong_evalcount,calls expected 1 got 2,true|1
s00016,SAB,sab_evalcount,0,sab,sab_evalcount,sab,0,wrong_evalcount,calls expected 1 got 2,1.25|1
s00017,SAB,sab_evalcount,0,sab,sab_evalcount,sab,0,wrong_evalcount,calls expected 1 got 2,p|1
s00018,SAB,sab_evalcount,0,sab,sab_evalcount,sab,0,wrong_evalcount,calls expected 1 got 2,aa|1
s00019,SAB,sab_evalcount,0,sab,sab_evalcount,sab,0,wrong_evalcount,calls expected 1 got 2,5|1
s00020,SAB,sab_trap,0,sab,sab_trap,sab,0,trap,0:     0xec - vl!<wasm function 4>,1|1
s00021,SAB,sab_trap,0,sab,sab_trap,sab,0,trap,0:    0x10a - vl!<wasm function 4>,a|1
s00022,SAB,sab_trap,0,sab,sab_trap,sab,0,trap,0:     0xf3 - vl!<wasm function 5>,1.25|1
s00023,SAB,sab_trap,0,sab,sab_trap,sab,0,trap,0:    0x113 - vl!<wasm function 5>,10|1
s00024,SAB,sab_trap,0,sab,sab_trap,sab,0,trap,0:    0x117 - vl!<wasm function 6>,1.25|1
s00025,SAB,sab_trap,0,sab,sab_trap,sab,0,trap,0:     0xd7 - vl!<wasm function 4>,1|1
s00026,SAB,sab_control,0,sab,sab_control,sab,0,correct,,7|1
s00027,SAB,sab_control,0,sab,sab_control,sab,0,correct,,aa|1
s00028,SAB,sab_control,0,sab,sab_control,sab,0,correct,,2|1
s00029,SAB,sab_control,0,sab,sab_control,sab,0,correct,,5|1
