cell,argform,narrowing,dest,expected,grade,detail
literal__na__direct-union,literal,na,direct-union,5,runs,printed 5
literal__na__direct-nulvariant,literal,na,direct-nulvariant,5,runs,printed 5
literal__na__direct-struct,literal,na,direct-struct,5,runs,printed 5
literal__na__generic-T,literal,na,generic-T,7,loud emit reject,[ERROR]: emitProgram: monomorphize: unsupported argument type for `x` in a call to `dstGen`
literal__na__generic-initA,literal,na,generic-initA,6,loud emit reject,[ERROR]: emitProgram: monomorphize: unsupported argument type for `init` in a call to `dstRed`
literal__na__std-reduce,literal,na,std-reduce,8,loud emit reject,[ERROR]: emitProgram: monomorphize: unsupported argument type for `init` in a call to `reduce`
bare-null__na__direct-union,bare-null,na,direct-union,,loud check reject,"[ERROR]: argument 1: expected Shape, got null"
bare-null__na__direct-nulvariant,bare-null,na,direct-nulvariant,-7,runs,printed -7
bare-null__na__direct-struct,bare-null,na,direct-struct,,loud check reject,"[ERROR]: argument 1: expected Circle, got null"
bare-null__na__generic-T,bare-null,na,generic-T,7,loud emit reject,[ERROR]: emitProgram: bare null needs a struct-typed context
bare-null__na__generic-initA,bare-null,na,generic-initA,,loud check reject,"[ERROR]: argument 2: expected Shape, got null"
bare-null__na__std-reduce,bare-null,na,std-reduce,,loud check reject,"[ERROR]: argument 3: expected Shape, got null"
narrowed-param__is__direct-union,narrowed-param,is,direct-union,5,runs,printed 5
narrowed-param__is__direct-nulvariant,narrowed-param,is,direct-nulvariant,5,runs,printed 5
narrowed-param__is__direct-struct,narrowed-param,is,direct-struct,5,runs,printed 5
narrowed-param__is__generic-T,narrowed-param,is,generic-T,7,runs,printed 7
narrowed-param__is__generic-initA,narrowed-param,is,generic-initA,6,runs,printed 6
narrowed-param__is__ufcs-union,narrowed-param,is,ufcs-union,5,loud emit reject,[ERROR]: emitProgram: callee is not a function name
narrowed-param__is__ufcs-struct,narrowed-param,is,ufcs-struct,5,loud emit reject,[ERROR]: emitProgram: callee is not a function name
narrowed-param__is__std-reduce,narrowed-param,is,std-reduce,8,runs,printed 8
narrowed-param__ne-null__direct-union,narrowed-param,ne-null,direct-union,5,runs,printed 5
narrowed-param__ne-null__direct-nulvariant,narrowed-param,ne-null,direct-nulvariant,5,runs,printed 5
narrowed-param__ne-null__direct-struct,narrowed-param,ne-null,direct-struct,5,runs,printed 5
narrowed-param__ne-null__generic-T,narrowed-param,ne-null,generic-T,7,runs,printed 7
narrowed-param__ne-null__generic-initA,narrowed-param,ne-null,generic-initA,6,runs,printed 6
narrowed-param__ne-null__ufcs-union,narrowed-param,ne-null,ufcs-union,5,loud emit reject,[ERROR]: emitProgram: callee is not a function name
narrowed-param__ne-null__ufcs-struct,narrowed-param,ne-null,ufcs-struct,5,loud emit reject,[ERROR]: emitProgram: callee is not a function name
narrowed-param__ne-null__std-reduce,narrowed-param,ne-null,std-reduce,8,runs,printed 8
narrowed-local__is__direct-union,narrowed-local,is,direct-union,5,runs,printed 5
narrowed-local__is__direct-nulvariant,narrowed-local,is,direct-nulvariant,5,runs,printed 5
narrowed-local__is__direct-struct,narrowed-local,is,direct-struct,5,runs,printed 5
narrowed-local__is__generic-T,narrowed-local,is,generic-T,7,runs,printed 7
narrowed-local__is__generic-initA,narrowed-local,is,generic-initA,6,runs,printed 6
narrowed-local__is__ufcs-union,narrowed-local,is,ufcs-union,5,loud emit reject,[ERROR]: emitProgram: callee is not a function name
narrowed-local__is__ufcs-struct,narrowed-local,is,ufcs-struct,5,loud emit reject,[ERROR]: emitProgram: callee is not a function name
narrowed-local__is__std-reduce,narrowed-local,is,std-reduce,8,runs,printed 8
narrowed-local__ne-null__direct-union,narrowed-local,ne-null,direct-union,5,runs,printed 5
narrowed-local__ne-null__direct-nulvariant,narrowed-local,ne-null,direct-nulvariant,5,runs,printed 5
narrowed-local__ne-null__direct-struct,narrowed-local,ne-null,direct-struct,5,runs,printed 5
narrowed-local__ne-null__generic-T,narrowed-local,ne-null,generic-T,7,runs,printed 7
narrowed-local__ne-null__generic-initA,narrowed-local,ne-null,generic-initA,6,runs,printed 6
narrowed-local__ne-null__ufcs-union,narrowed-local,ne-null,ufcs-union,5,loud emit reject,[ERROR]: emitProgram: callee is not a function name
narrowed-local__ne-null__ufcs-struct,narrowed-local,ne-null,ufcs-struct,5,loud emit reject,[ERROR]: emitProgram: callee is not a function name
narrowed-local__ne-null__std-reduce,narrowed-local,ne-null,std-reduce,8,runs,printed 8
call-result__is__direct-union,call-result,is,direct-union,5,runs,printed 5
call-result__is__direct-nulvariant,call-result,is,direct-nulvariant,5,runs,printed 5
call-result__is__direct-struct,call-result,is,direct-struct,5,runs,printed 5
call-result__is__generic-T,call-result,is,generic-T,7,runs,printed 7
