cell,grade,detail
variant-param,runs,printed 7
nulvariant-param-is,runs,printed 7
nulvariant-param-nenull,runs,printed 7
nulvariant-local-is,runs,printed 7
nulvariant-global-is,loud emit reject,[ERROR]: emitProgram: monomorphize: unsupported argument type for `x` in a call to `dstGen`
variant-global,loud emit reject,[ERROR]: emitProgram: monomorphize: unsupported argument type for `x` in a call to `dstGen`
union-param,runs,printed 7
struct-param,runs,printed 7
nulstruct-param-is,runs,printed 7
nullist-param-nenull,runs,printed 7
nulreflist-param-nenull,runs,printed 7
nulreflist-field-nenull,loud emit reject,[ERROR]: emitProgram: monomorphize: unsupported argument type for `x` in a call to `dstGen`
nulstr-param-nenull,runs,printed 7
nulmap-param-nenull,runs,printed 7
nulclosure-param-is,runs,printed 7
nulbool-param-nenull,runs,printed 7
nulf64list-param-nenull,runs,printed 7
nuli64list-param-nenull,runs,printed 7
nulf32list-param-nenull,runs,printed 7
u8list-param,loud emit reject,[ERROR]: emitProgram: monomorphize: unsupported argument type for `x` in a call to `dstGen`
u8list-local,loud emit reject,[ERROR]: emitProgram: monomorphize: unsupported argument type for `x` in a call to `dstGen`
i32-param,runs,printed 7
string-param,runs,printed 7
i32list-param,runs,printed 7
bool-literal,runs,printed 7
i32-literal,runs,printed 7
